ticket_id,ticket_text,issue_type,urgency_level,product,cleaned_text,text_length,word_count,sentiment,tokens,processed_text
15,Order #53356 for RoboChef Blender is 18 days late. Ordered on 13 April.,Late Delivery,High,RoboChef Blender,order for robochef blender is days late. ordered on april.,58,10,-0.3,"['order', 'robochef', 'blender', 'day', 'late', 'ordered', 'april']",order robochef blender day late ordered april
16,Order #49712 for RoboChef Blender is 4 days late. Ordered on 25 April.,Late Delivery,Medium,RoboChef Blender,order for robochef blender is days late. ordered on april.,58,10,-0.3,"['order', 'robochef', 'blender', 'day', 'late', 'ordered', 'april']",order robochef blender day late ordered april
17,"Received wrong product, order mixed up. Also, I contacted support on 03 March but got no response.",Wrong Item,Medium,Vision LED TV,received wrong product order mixed up. also i contacted support on march but got no response.,93,16,-0.25,"['received', 'wrong', 'product', 'order', 'mixed', 'also', 'contacted', 'support', 'march', 'got', 'response']",received wrong product order mixed also contacted support march got response
18,"Received wrong product, order mixed up.",Wrong Item,High,PhotoSnap Cam,received wrong product order mixed up.,38,6,-0.25,"['received', 'wrong', 'product', 'order', 'mixed']",received wrong product order mixed
19,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,can t log in to my account. keeps showing unknown issue. help!,62,12,-0.125,"['log', 'account', 'keep', 'showing', 'unknown', 'issue', 'help']",log account keep showing unknown issue help
20,Login not working.,Account Access,High,ProTab X1,login not working.,18,3,0.0,"['login', 'working']",login working
21,PhotoSnap Cam is faulty. It stopped working after just 1 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam is faulty. it stopped working after just days.,60,10,0.0,"['photosnap', 'cam', 'faulty', 'stopped', 'working', 'day']",photosnap cam faulty stopped working day
22,"Payment issue for my RoboChef Blender. I was not refunded for order #47429. Also, I contacted support on 02 March but got no response.",Billing Problem,Medium,RoboChef Blender,payment issue for my robochef blender. i was not refunded for order . also i contacted support on march but got no response.,124,23,0.0,"['payment', 'issue', 'robochef', 'blender', 'refunded', 'order', 'also', 'contacted', 'support', 'march', 'got', 'response']",payment issue robochef blender refunded order also contacted support march got response
23,FitRun Treadmill is damaged. It stopped working after just 9 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill is damaged. it stopped working after just days.,64,10,0.0,"['fitrun', 'treadmill', 'damaged', 'stopped', 'working', 'day']",fitrun treadmill damaged stopped working day
24,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Low,EcoBreeze AC,can t log in to my account. keeps showing blocked. help!,56,11,0.0,"['log', 'account', 'keep', 'showing', 'blocked', 'help']",log account keep showing blocked help
25,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in black?",General Inquiry,Medium,FitRun Treadmill,can you tell me more about the fitrun treadmill warranty? also is it available in black?,88,16,0.24444444444444446,"['tell', 'fitrun', 'treadmill', 'warranty', 'also', 'available', 'black']",tell fitrun treadmill warranty also available black
26,Facing installation issue with RoboChef Blender. Setup fails at step 6.,Unknown,Medium,RoboChef Blender,facing installation issue with robochef blender. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'robochef', 'blender', 'setup', 'fails', 'step']",facing installation issue robochef blender setup fails step
27,Facing installation issue wit Vision LED TV. Setup fails at step 6.,Installation Issue,Low,Vision LED TV,facing installation issue wit vision led tv. setup fails at step .,66,12,-0.5,"['facing', 'installation', 'issue', 'wit', 'vision', 'led', 'setup', 'fails', 'step']",facing installation issue wit vision led setup fails step
28,"Can you tell me more about the RoboChef Blender warranty? Also, is it available in blue?",General Inquiry,Medium,RoboChef Blender,can you tell me more about the robochef blender warranty? also is it available in blue?,87,16,0.3,"['tell', 'robochef', 'blender', 'warranty', 'also', 'available', 'blue']",tell robochef blender warranty also available blue
29,FitRun Treadmill is malfunction. It stopped working after just 2 days.,Product Defect,Low,FitRun Treadmill,fitrun treadmill is malfunction. it stopped working after just days.,68,10,0.0,"['fitrun', 'treadmill', 'malfunction', 'stopped', 'working', 'day']",fitrun treadmill malfunction stopped working day
30,"Order #28983 for SmartWatch V2 is 17 days late. Ordered on 05 May. Also, I contacted support on 05 May but got no response.",Late Delivery,High,SmartWatch V2,order for smartwatch v is days late. ordered on may. also i contacted support on may but got no response.,105,20,-0.3,"['order', 'smartwatch', 'day', 'late', 'ordered', 'may', 'also', 'contacted', 'support', 'may', 'got', 'response']",order smartwatch day late ordered may also contacted support may got response
31,Payment issue fr mi EcoBreeze AC. I was charged twice fr order #64374.,Billing Problem,Low,EcoBreeze AC,payment issue fr mi ecobreeze ac. i was charged twice fr order .,64,13,0.0,"['payment', 'issue', 'ecobreeze', 'charged', 'twice', 'order']",payment issue ecobreeze charged twice order
32,"FitRun Treadmill is lost. It stopped working after just 3 days. Also, I contacted support on 08 May but got no response.",Product Defect,Low,FitRun Treadmill,fitrun treadmill is lost. it stopped working after just days. also i contacted support on may but got no response.,114,20,0.0,"['fitrun', 'treadmill', 'lost', 'stopped', 'working', 'day', 'also', 'contacted', 'support', 'may', 'got', 'response']",fitrun treadmill lost stopped working day also contacted support may got response
33,Order #79265 for EcoBreeze AC is 15 days late. Ordered on 17 March.,Late Delivery,Low,EcoBreeze AC,order for ecobreeze ac is days late. ordered on march.,54,10,-0.3,"['order', 'ecobreeze', 'day', 'late', 'ordered', 'march']",order ecobreeze day late ordered march
34,Payment problem fr order #88128. Need urgent help.,Billing Problem,Low,RoboChef Blender,payment problem fr order . need urgent help.,44,8,0.0,"['payment', 'problem', 'order', 'need', 'urgent', 'help']",payment problem order need urgent help
35,Order #58187 for EcoBreeze AC is 11 days late. Ordered on 30 March.,Late Delivery,Low,EcoBreeze AC,order for ecobreeze ac is days late. ordered on march.,54,10,-0.3,"['order', 'ecobreeze', 'day', 'late', 'ordered', 'march']",order ecobreeze day late ordered march
36,RoboChef Blender is malfunction. It stopped working after just 9 days.,Product Defect,High,RoboChef Blender,robochef blender is malfunction. it stopped working after just days.,68,10,0.0,"['robochef', 'blender', 'malfunction', 'stopped', 'working', 'day']",robochef blender malfunction stopped working day
37,Can't log in to my account. Keeps showing blocked. Help! Delivery expected by 04 March.,Unknown,High,FitRun Treadmill,can t log in to my account. keeps showing blocked. help! delivery expected by march.,84,15,-0.1,"['log', 'account', 'keep', 'showing', 'blocked', 'help', 'delivery', 'expected', 'march']",log account keep showing blocked help delivery expected march
38,,Billing Problem,High,PhotoSnap Cam,,0,0,0.0,[],empty text
39,Payment issue for my ProTab X1. I was charged twice for order #14510.,Billing Problem,Medium,ProTab X1,payment issue for my protab x . i was charged twice for order .,63,14,0.0,"['payment', 'issue', 'protab', 'charged', 'twice', 'order']",payment issue protab charged twice order
40,Facing installation issue with FitRun Treadmill. Setup fails at step 4.,Installation Issue,High,FitRun Treadmill,facing installation issue with fitrun treadmill. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'fitrun', 'treadmill', 'setup', 'fails', 'step']",facing installation issue fitrun treadmill setup fails step
41,Payment issue for my FitRun Treadmill. I was not refunded for order #91776.,Billing Problem,Low,FitRun Treadmill,payment issue for my fitrun treadmill. i was not refunded for order .,69,13,0.0,"['payment', 'issue', 'fitrun', 'treadmill', 'refunded', 'order']",payment issue fitrun treadmill refunded order
42,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Medium,PhotoSnap Cam,can t log in to my account. keeps showing captcha failed. help!,63,12,-0.625,"['log', 'account', 'keep', 'showing', 'captcha', 'failed', 'help']",log account keep showing captcha failed help
43,,Billing Problem,Medium,ProTab X1,,0,0,0.0,[],empty text
44,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,SoundWave 300,can t log in to my account. keeps showing unknown issue. help!,62,12,-0.125,"['log', 'account', 'keep', 'showing', 'unknown', 'issue', 'help']",log account keep showing unknown issue help
45,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Low,RoboChef Blender,facing installation issue with robochef blender. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'robochef', 'blender', 'setup', 'fails', 'step']",facing installation issue robochef blender setup fails step
46,"Can you tell me more about the  warranty? Also, is it available in black?",General Inquiry,High,UltraClean Vacuum,can you tell me more about the warranty? also is it available in black?,71,14,0.24444444444444446,"['tell', 'warranty', 'also', 'available', 'black']",tell warranty also available black
47,Facing installation issue with PowerMax Battery. Setup fails at step 2.,Installation Issue,Medium,PowerMax Battery,facing installation issue with powermax battery. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'powermax', 'battery', 'setup', 'fails', 'step']",facing installation issue powermax battery setup fails step
48,"Can you tell me more about the ProTab X1 warranty? Also, is it available in red?",General Inquiry,Low,ProTab X1,can you tell me more about the protab x warranty? also is it available in red?,78,16,0.3,"['tell', 'protab', 'warranty', 'also', 'available', 'red']",tell protab warranty also available red
49,Facing installation issue wit EcoBreeze AC. Setup fails at step 2.,Installation Issue,Medium,EcoBreeze AC,facing installation issue wit ecobreeze ac. setup fails at step .,65,11,-0.5,"['facing', 'installation', 'issue', 'wit', 'ecobreeze', 'setup', 'fails', 'step']",facing installation issue wit ecobreeze setup fails step
50,"Vision LED TV is lost. It stopped working after just 3 days. Also, I contacted support on 18 May but got no response.",Product Defect,High,Vision LED TV,vision led tv is lost. it stopped working after just days. also i contacted support on may but got no response.,111,21,0.0,"['vision', 'led', 'lost', 'stopped', 'working', 'day', 'also', 'contacted', 'support', 'may', 'got', 'response']",vision led lost stopped working day also contacted support may got response
51,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 04 April but got no response. Delivery expected by 04 April.",General Inquiry,High,ProTab X1,can you tell me more about the protab x warranty? also is it available in white? also i contacted support on april but got no response. delivery expected by april.,163,30,0.2,"['tell', 'protab', 'warranty', 'also', 'available', 'white', 'also', 'contacted', 'support', 'april', 'got', 'response', 'delivery', 'expected', 'april']",tell protab warranty also available white also contacted support april got response delivery expected april
52,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in white? Also, I contacted support on 13 April but got no response.",General Inquiry,High,FitRun Treadmill,can you tell me more about the fitrun treadmill warranty? also is it available in white? also i contacted support on april but got no response.,143,26,0.3,"['tell', 'fitrun', 'treadmill', 'warranty', 'also', 'available', 'white', 'also', 'contacted', 'support', 'april', 'got', 'response']",tell fitrun treadmill warranty also available white also contacted support april got response
53,Facing installation issue with EcoBreeze AC. Setup fails at step 6. Delivery expected by 26 April.,Installation Issue,High,EcoBreeze AC,facing installation issue with ecobreeze ac. setup fails at step . delivery expected by april.,94,15,-0.3,"['facing', 'installation', 'issue', 'ecobreeze', 'setup', 'fails', 'step', 'delivery', 'expected', 'april']",facing installation issue ecobreeze setup fails step delivery expected april
54,Payment issue fr mi . I was charged twice fr order #45453.,Billing Problem,High,UltraClean Vacuum,payment issue fr mi . i was charged twice fr order .,52,12,0.0,"['payment', 'issue', 'charged', 'twice', 'order']",payment issue charged twice order
55,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,can t log in to my account. keeps showing blocked. help!,56,11,0.0,"['log', 'account', 'keep', 'showing', 'blocked', 'help']",log account keep showing blocked help
56,Facing installation issue with Vision LED TV. Setup fails at step 2.,Installation Issue,Low,Vision LED TV,facing installation issue with vision led tv. setup fails at step .,67,12,-0.5,"['facing', 'installation', 'issue', 'vision', 'led', 'setup', 'fails', 'step']",facing installation issue vision led setup fails step
57,Payment issue for my Vision LED TV. I was not refunded for order #77581.,Billing Problem,Medium,Vision LED TV,payment issue for my vision led tv. i was not refunded for order .,66,14,0.0,"['payment', 'issue', 'vision', 'led', 'refunded', 'order']",payment issue vision led refunded order
58,"Can you tell me more about the  warranty? Also, is it available in white? Delivery expected by 19 March.",Unknown,High,Vision LED TV,can you tell me more about the warranty? also is it available in white? delivery expected by march.,99,18,0.2,"['tell', 'warranty', 'also', 'available', 'white', 'delivery', 'expected', 'march']",tell warranty also available white delivery expected march
59,I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #65084. Delivery expected by 12 April.,Wrong Item,Medium,SmartWatch V2,i ordered smartwatch v but got powermax battery instead. my order number is . delivery expected by april.,105,18,-0.1,"['ordered', 'smartwatch', 'got', 'powermax', 'battery', 'instead', 'order', 'number', 'delivery', 'expected', 'april']",ordered smartwatch got powermax battery instead order number delivery expected april
60,Payment issue for my ProTab X1. I was debited incorrectly for order #19053.,Billing Problem,Medium,ProTab X1,payment issue for my protab x . i was debited incorrectly for order .,69,14,0.0,"['payment', 'issue', 'protab', 'debited', 'incorrectly', 'order']",payment issue protab debited incorrectly order
61,"Payment issue for my FitRun Treadmill. I was overbilled for order #84201. Also, I contacted support on 16 May but got no response.",Billing Problem,High,FitRun Treadmill,payment issue for my fitrun treadmill. i was overbilled for order . also i contacted support on may but got no response.,120,22,0.0,"['payment', 'issue', 'fitrun', 'treadmill', 'overbilled', 'order', 'also', 'contacted', 'support', 'may', 'got', 'response']",payment issue fitrun treadmill overbilled order also contacted support may got response
62,Payment problem for order #67337. Need urgent help. Delivery expected by 19 March.,Billing Problem,Low,PhotoSnap Cam,payment problem for order . need urgent help. delivery expected by march.,73,12,-0.1,"['payment', 'problem', 'order', 'need', 'urgent', 'help', 'delivery', 'expected', 'march']",payment problem order need urgent help delivery expected march
63,"I ordered PowerMax Battery but got ProTab X1 instead. My order number is #97429. Also, I contacted support on 07 April but got no response.",Wrong Item,High,PowerMax Battery,i ordered powermax battery but got protab x instead. my order number is . also i contacted support on april but got no response.,128,24,0.0,"['ordered', 'powermax', 'battery', 'got', 'protab', 'instead', 'order', 'number', 'also', 'contacted', 'support', 'april', 'got', 'response']",ordered powermax battery got protab instead order number also contacted support april got response
64,PhotoSnap Cam is faulty. It stopped working after just 7 days.,Product Defect,Medium,PhotoSnap Cam,photosnap cam is faulty. it stopped working after just days.,60,10,0.0,"['photosnap', 'cam', 'faulty', 'stopped', 'working', 'day']",photosnap cam faulty stopped working day
65,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue?",General Inquiry,Low,Vision LED TV,can you tell me more about the vision led tv warranty? also is it available in blue?,84,17,0.3,"['tell', 'vision', 'led', 'warranty', 'also', 'available', 'blue']",tell vision led warranty also available blue
66,Order #95306 for PhotoSnap Cam is 17 days late. Ordered on 09 March.,Late Delivery,Low,PhotoSnap Cam,order for photosnap cam is days late. ordered on march.,55,10,-0.3,"['order', 'photosnap', 'cam', 'day', 'late', 'ordered', 'march']",order photosnap cam day late ordered march
67,Order #96823 for SmartWatch V2 is 14 days late. Ordered on 16 March.,Late Delivery,Medium,SmartWatch V2,order for smartwatch v is days late. ordered on march.,54,10,-0.3,"['order', 'smartwatch', 'day', 'late', 'ordered', 'march']",order smartwatch day late ordered march
68,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,High,Vision LED TV,can t log in to my account. keeps showing captcha failed. help!,63,12,-0.625,"['log', 'account', 'keep', 'showing', 'captcha', 'failed', 'help']",log account keep showing captcha failed help
69,"Facing installation issue with SoundWave 300. Setup fails at step 6. Also, I contacted support on 06 April but got no response.",Installation Issue,Medium,SoundWave 300,facing installation issue with soundwave . setup fails at step . also i contacted support on april but got no response.,119,21,-0.5,"['facing', 'installation', 'issue', 'soundwave', 'setup', 'fails', 'step', 'also', 'contacted', 'support', 'april', 'got', 'response']",facing installation issue soundwave setup fails step also contacted support april got response
70,Payment issue for my SmartWatch V2. I was not refunded for order #40696.,Billing Problem,Low,SmartWatch V2,payment issue for my smartwatch v . i was not refunded for order .,66,14,0.0,"['payment', 'issue', 'smartwatch', 'refunded', 'order']",payment issue smartwatch refunded order
71,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red? Also, I contacted support on 11 March but got no response.",General Inquiry,Medium,PhotoSnap Cam,can you tell me more about the photosnap cam warranty? also is it available in red? also i contacted support on march but got no response.,138,26,0.3,"['tell', 'photosnap', 'cam', 'warranty', 'also', 'available', 'red', 'also', 'contacted', 'support', 'march', 'got', 'response']",tell photosnap cam warranty also available red also contacted support march got response
72,Order #53287 for PowerMax Battery is 8 days late. Ordered on 08 April.,Late Delivery,Medium,PowerMax Battery,order for powermax battery is days late. ordered on april.,58,10,-0.3,"['order', 'powermax', 'battery', 'day', 'late', 'ordered', 'april']",order powermax battery day late ordered april
73,Facing installation issue with . Setup fails at step 2.,Installation Issue,Medium,UltraClean Vacuum,facing installation issue with . setup fails at step .,54,10,-0.5,"['facing', 'installation', 'issue', 'setup', 'fails', 'step']",facing installation issue setup fails step
74,Facing installation issue with . Setup fails at step 2.,Installation Issue,High,ProTab X1,facing installation issue with . setup fails at step .,54,10,-0.5,"['facing', 'installation', 'issue', 'setup', 'fails', 'step']",facing installation issue setup fails step
75, is error. It stopped working after just 5 days.,Product Defect,Low,EcoBreeze AC,is error. it stopped working after just days.,45,8,0.0,"['error', 'stopped', 'working', 'day']",error stopped working day
76,Facing installation issue with . Setup fails at step 3.,Installation Issue,Medium,EcoBreeze AC,facing installation issue with . setup fails at step .,54,10,-0.5,"['facing', 'installation', 'issue', 'setup', 'fails', 'step']",facing installation issue setup fails step
77,"Order #61645 for PhotoSnap Cam is 18 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,Medium,PhotoSnap Cam,order for photosnap cam is days late. ordered on april. also i contacted support on april but got no response.,110,20,-0.3,"['order', 'photosnap', 'cam', 'day', 'late', 'ordered', 'april', 'also', 'contacted', 'support', 'april', 'got', 'response']",order photosnap cam day late ordered april also contacted support april got response
78,Payment issue for my SoundWave 300. I was overbilled for order #57017.,Billing Problem,Medium,SoundWave 300,payment issue for my soundwave . i was overbilled for order .,61,12,0.0,"['payment', 'issue', 'soundwave', 'overbilled', 'order']",payment issue soundwave overbilled order
79,Payment issue fr mi PhotoSnap Cam. I was underbilled fr order #45489.,Billing Problem,Medium,PhotoSnap Cam,payment issue fr mi photosnap cam. i was underbilled fr order .,63,12,0.0,"['payment', 'issue', 'photosnap', 'cam', 'underbilled', 'order']",payment issue photosnap cam underbilled order
80,"Order #29495 for ProTab X1 is 14 days late. Ordered on 01 May. Also, I contacted support on 01 May but got no response.",Unknown,High,ProTab X1,order for protab x is days late. ordered on may. also i contacted support on may but got no response.,101,20,-0.3,"['order', 'protab', 'day', 'late', 'ordered', 'may', 'also', 'contacted', 'support', 'may', 'got', 'response']",order protab day late ordered may also contacted support may got response
81,I ordered PhotoSnap Cam but got FitRun Treadmill instead. My order number is #64401.,Wrong Item,Medium,PhotoSnap Cam,i ordered photosnap cam but got fitrun treadmill instead. my order number is .,78,14,0.0,"['ordered', 'photosnap', 'cam', 'got', 'fitrun', 'treadmill', 'instead', 'order', 'number']",ordered photosnap cam got fitrun treadmill instead order number
82,"Can you tell me more about the SoundWave 300 warranty? Also, is it available in black?",General Inquiry,High,SoundWave 300,can you tell me more about the soundwave warranty? also is it available in black?,81,15,0.24444444444444446,"['tell', 'soundwave', 'warranty', 'also', 'available', 'black']",tell soundwave warranty also available black
83,Facing installation issue with . Setup fails at step 1.,Installation Issue,High,FitRun Treadmill,facing installation issue with . setup fails at step .,54,10,-0.5,"['facing', 'installation', 'issue', 'setup', 'fails', 'step']",facing installation issue setup fails step
84,,General Inquiry,Low,RoboChef Blender,,0,0,0.0,[],empty text
85,"Can you tell me more about the  warranty? Also, is it available in blue?",General Inquiry,Medium,SmartWatch V2,can you tell me more about the warranty? also is it available in blue?,70,14,0.3,"['tell', 'warranty', 'also', 'available', 'blue']",tell warranty also available blue
86,I ordered SmartWatch V2 but got SoundWave 300 instead. My order number is #24006.,Wrong Item,Medium,SmartWatch V2,i ordered smartwatch v but got soundwave instead. my order number is .,70,13,0.0,"['ordered', 'smartwatch', 'got', 'soundwave', 'instead', 'order', 'number']",ordered smartwatch got soundwave instead order number
87,PowerMax Battery is glitchy. It stopped working after just 7 days.,Product Defect,Low,PowerMax Battery,powermax battery is glitchy. it stopped working after just days.,64,10,0.0,"['powermax', 'battery', 'glitchy', 'stopped', 'working', 'day']",powermax battery glitchy stopped working day
88,I ordered  but got SmartWatch V2 instead. My order number is #67796.,Wrong Item,High,PowerMax Battery,i ordered but got smartwatch v instead. my order number is .,60,12,0.0,"['ordered', 'got', 'smartwatch', 'instead', 'order', 'number']",ordered got smartwatch instead order number
89,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white? Also, I contacted support on 08 March but got no response.",General Inquiry,High,ProTab X1,can you tell me more about the protab x warranty? also is it available in white? also i contacted support on march but got no response.,135,26,0.3,"['tell', 'protab', 'warranty', 'also', 'available', 'white', 'also', 'contacted', 'support', 'march', 'got', 'response']",tell protab warranty also available white also contacted support march got response
90,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in black? Delivery expected by 09 April.",General Inquiry,High,PowerMax Battery,can you tell me more about the powermax battery warranty? also is it available in black? delivery expected by april.,116,20,0.15833333333333335,"['tell', 'powermax', 'battery', 'warranty', 'also', 'available', 'black', 'delivery', 'expected', 'april']",tell powermax battery warranty also available black delivery expected april
91,Order #70536 for PowerMax Battery is 4 days late. Ordered on 01 May.,Late Delivery,Medium,PowerMax Battery,order for powermax battery is days late. ordered on may.,56,10,-0.3,"['order', 'powermax', 'battery', 'day', 'late', 'ordered', 'may']",order powermax battery day late ordered may
92,I ordered  but got SoundWave 300 instead. My order number is #93122.,Wrong Item,Medium,PhotoSnap Cam,i ordered but got soundwave instead. my order number is .,57,11,0.0,"['ordered', 'got', 'soundwave', 'instead', 'order', 'number']",ordered got soundwave instead order number
93,I ordered SmartWatch V2 but got ProTab X1 instead. My order number is #76301.,Wrong Item,High,SmartWatch V2,i ordered smartwatch v but got protab x instead. my order number is .,69,14,0.0,"['ordered', 'smartwatch', 'got', 'protab', 'instead', 'order', 'number']",ordered smartwatch got protab instead order number
94,Facing installation issue with PowerMax Battery. Setup fails at step 1.,Installation Issue,Low,PowerMax Battery,facing installation issue with powermax battery. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'powermax', 'battery', 'setup', 'fails', 'step']",facing installation issue powermax battery setup fails step
95,Order #84203 for Vision LED TV is 5 days late. Ordered on 30 April.,Late Delivery,High,Vision LED TV,order for vision led tv is days late. ordered on april.,55,11,-0.3,"['order', 'vision', 'led', 'day', 'late', 'ordered', 'april']",order vision led day late ordered april
96,Facing installation issue with PowerMax Battery. Setup fails at step 6. Delivery expected by 04 May.,Installation Issue,Medium,PowerMax Battery,facing installation issue with powermax battery. setup fails at step . delivery expected by may.,96,15,-0.3,"['facing', 'installation', 'issue', 'powermax', 'battery', 'setup', 'fails', 'step', 'delivery', 'expected', 'may']",facing installation issue powermax battery setup fails step delivery expected may
97,"Can you tell me more about teh ProTab X1 warranty? Also, is it available in white?",General Inquiry,High,ProTab X1,can you tell me more about teh protab x warranty? also is it available in white?,80,16,0.3,"['tell', 'teh', 'protab', 'warranty', 'also', 'available', 'white']",tell teh protab warranty also available white
98,Can't log in to my account. Keeps showing blocked. Help!,Account Access,Medium,SoundWave 300,can t log in to my account. keeps showing blocked. help!,56,11,0.0,"['log', 'account', 'keep', 'showing', 'blocked', 'help']",log account keep showing blocked help
99,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in black?",General Inquiry,Medium,SmartWatch V2,can you tell me more about the smartwatch v warranty? also is it available in black?,84,16,0.24444444444444446,"['tell', 'smartwatch', 'warranty', 'also', 'available', 'black']",tell smartwatch warranty also available black
100,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Medium,SoundWave 300,facing installation issue with soundwave . setup fails at step .,64,11,-0.5,"['facing', 'installation', 'issue', 'soundwave', 'setup', 'fails', 'step']",facing installation issue soundwave setup fails step
101,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,Medium,UltraClean Vacuum,can t log in to my account. keeps showing unknown issue. help!,62,12,-0.125,"['log', 'account', 'keep', 'showing', 'unknown', 'issue', 'help']",log account keep showing unknown issue help
102,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,High,ProTab X1,can you tell me more about the protab x warranty? also is it available in blue?,79,16,0.3,"['tell', 'protab', 'warranty', 'also', 'available', 'blue']",tell protab warranty also available blue
